site,group,network,M,R_baseline,R_freeze_only,R_lock_only,R_both,cost_plastic,cost_frozen,interaction
FL calf,M=10,27294405,10,1.00307,-0.00026395,-5.78465e-05,-0.00183105,-1.00313,-0.0015671,-1.00156
FL calf,M=10,689362957,10,1.00805,-0.000190105,-2.71593e-06,-0.00109229,-1.00805,-0.000902186,-1.00715
FL calf,M=20,1853697842,20,0.992619,-0.000483968,0.38748,-0.000425732,-0.605139,5.82356e-05,-0.605197
FL calf,M=20,685059270,20,0.988608,-4.64167e-05,0.00335529,-2.22969e-05,-0.985253,2.41198e-05,-0.985277
FL calf,M=20,1919632181,20,1.00733,0.0178812,-0.00107594,0.0236364,-1.00841,0.00575512,-1.01416
FL calf,M=20,641049713,20,0.97257,-0.000424681,-0.000621668,-0.00159902,-0.973192,-0.00117434,-0.972017
FL calf,M=20,1298619277,20,0.992293,0.000336678,0.000131043,-5.50566e-05,-0.992162,-0.000391734,-0.99177
FL calf,M=160,576310242,160,0.99619,0.987394,0.489914,0.430994,-0.506276,-0.5564,0.0501236
FL calf,M=160,756800567,160,1.00315,0.703364,0.423195,0.530497,-0.579956,-0.172867,-0.407088
FL calf,M=160,1042351053,160,0.999034,0.985568,0.000284862,-0.000189966,-0.998749,-0.985758,-0.0129908
FL calf,M=160,2126766829,160,0.997474,0.979119,-0.000340862,0.000815369,-0.997815,-0.978303,-0.0195121
FL calf,M=160,602647351,160,1.00289,0.994415,-2.21886e-05,0.000216328,-1.00291,-0.994199,-0.00871093
